iter	Passed	Remaining
0	3	3216
1	6	3264
2	9	3113
3	11	2983
4	14	2922
5	18	2996
6	20	2903
7	22	2783
8	24	2703
9	26	2667
10	28	2573
11	30	2491
12	31	2412
13	33	2354
14	34	2294
15	36	2250
16	38	2208
17	40	2186
18	41	2159
19	43	2116
20	44	2077
21	45	2032
22	47	2007
23	48	1978
24	50	1953
25	51	1921
26	52	1903
27	54	1890
28	55	1870
29	57	1846
30	58	1825
31	59	1802
32	60	1783
33	62	1772
34	63	1760
35	65	1745
36	66	1732
37	67	1720
38	69	1708
39	70	1695
40	71	1683
41	73	1673
42	74	1662
43	75	1651
44	77	1642
45	79	1638
46	80	1629
47	81	1619
48	83	1614
49	84	1613
50	86	1607
51	87	1597
52	89	1590
53	90	1581
54	91	1572
55	92	1562
56	94	1557
57	95	1550
58	96	1543
59	98	1537
60	99	1531
61	100	1523
62	102	1517
63	103	1509
64	104	1502
65	105	1497
66	106	1484
67	107	1477
68	109	1474
69	110	1470
70	112	1468
71	113	1463
72	114	1456
73	116	1451
74	117	1445
75	118	1443
76	120	1440
77	121	1434
78	122	1431
79	124	1429
80	125	1425
81	126	1420
82	128	1415
83	129	1413
84	130	1409
85	132	1406
86	133	1402
87	134	1398
88	136	1395
89	137	1391
90	138	1387
91	140	1383
92	141	1381
93	142	1377
94	144	1373
95	145	1371
96	147	1368
97	148	1365
98	149	1363
99	151	1360
100	152	1357
101	154	1356
102	155	1353
103	157	1352
104	158	1350
105	159	1347
106	161	1344
107	162	1341
108	163	1337
109	164	1332
110	165	1329
111	167	1326
112	168	1326
113	170	1324
114	171	1318
115	172	1314
116	174	1313
117	175	1311
118	176	1307
119	178	1305
120	179	1303
121	180	1300
122	182	1298
123	183	1296
124	184	1294
125	186	1292
126	187	1289
127	188	1287
128	191	1291
129	192	1288
130	193	1284
131	194	1281
132	196	1279
133	197	1278
134	199	1276
135	200	1274
136	201	1271
137	203	1269
138	204	1266
139	205	1264
140	207	1262
141	208	1260
142	210	1258
143	211	1257
144	212	1255
145	214	1255
146	217	1259
147	218	1256
148	219	1256
149	221	1254
150	222	1253
151	223	1248
152	225	1247
153	226	1245
154	228	1243
155	229	1241
156	230	1240
157	232	1237
158	233	1235
159	234	1232
160	235	1229
161	237	1228
162	238	1225
163	240	1223
164	241	1221
165	242	1219
166	244	1217
167	245	1216
168	246	1213
169	248	1210
170	249	1208
171	250	1207
172	252	1205
173	253	1202
174	254	1201
175	256	1199
176	257	1198
177	259	1196
178	260	1195
179	262	1193
180	263	1194
181	265	1193
182	267	1192
183	268	1191
184	269	1189
185	271	1187
186	272	1185
187	274	1183
188	275	1181
189	276	1180
190	278	1177
191	279	1176
192	280	1174
193	282	1172
194	283	1169
195	284	1168
196	286	1168
197	288	1166
198	289	1164
199	290	1163
200	292	1161
201	293	1159
202	294	1157
203	296	1157
204	297	1155
205	299	1152
206	300	1150
207	301	1148
208	302	1146
209	304	1145
210	305	1143
211	306	1140
212	308	1139
213	309	1138
214	311	1136
215	312	1135
216	314	1134
217	315	1132
218	317	1131
219	318	1129
220	320	1127
221	321	1126
222	322	1124
223	324	1122
224	325	1120
225	326	1118
226	327	1116
227	329	1115
228	330	1113
229	331	1111
230	333	1109
231	334	1107
232	335	1105
233	337	1104
234	338	1102
235	339	1100
236	340	1097
237	342	1096
238	343	1094
239	345	1093
240	346	1092
241	348	1090
242	349	1088
243	350	1087
244	352	1085
245	353	1083
246	354	1081
247	356	1079
248	357	1078
249	358	1076
250	360	1074
251	361	1072
252	362	1070
253	363	1068
254	365	1066
255	366	1065
256	367	1063
257	369	1061
258	370	1059
259	371	1057
260	372	1055
261	374	1053
262	375	1052
263	376	1050
264	377	1047
265	378	1045
266	380	1043
267	381	1042
268	382	1040
269	384	1038
270	385	1037
271	386	1035
272	388	1034
273	389	1032
274	391	1030
275	392	1029
276	393	1027
277	395	1026
278	396	1025
279	398	1023
280	399	1022
281	400	1020
282	402	1019
283	403	1017
284	405	1016
285	406	1014
286	407	1011
287	408	1010
288	409	1008
289	411	1006
290	412	1005
291	413	1003
292	415	1001
293	416	999
294	417	997
295	418	996
296	420	994
297	421	993
298	423	992
299	424	991
300	426	989
301	428	989
302	429	988
303	431	987
304	432	985
305	433	983
306	435	982
307	436	980
308	437	979
309	439	977
310	440	976
311	442	974
312	443	972
313	445	972
314	446	971
315	447	969
316	449	967
317	450	966
318	451	964
319	453	963
320	454	961
321	455	959
322	457	958
323	458	956
324	459	954
325	461	953
326	462	952
327	464	950
328	465	949
329	466	947
330	468	946
331	469	944
332	471	943
333	472	942
334	474	940
335	475	939
336	476	937
337	477	936
338	479	934
339	480	933
340	482	931
341	483	930
342	484	928
343	486	926
344	487	925
345	488	923
346	490	922
347	491	920
348	493	919
349	494	918
350	495	916
351	497	915
352	499	914
353	500	913
354	501	911
355	503	910
356	504	908
357	505	907
358	507	905
359	508	904
360	509	902
361	511	901
362	513	900
363	514	898
364	515	897
365	516	895
366	517	892
367	519	891
368	520	890
369	521	888
370	523	887
371	524	885
372	525	883
373	527	882
374	528	880
375	529	878
376	530	877
377	532	875
378	533	874
379	534	872
380	536	870
381	537	869
382	538	867
383	540	867
384	541	865
385	543	863
386	544	862
387	545	860
388	547	859
389	548	858
390	549	856
391	550	854
392	552	852
393	553	851
394	554	849
395	556	848
396	557	846
397	558	845
398	560	843
399	561	841
400	562	840
401	563	838
402	565	838
403	567	836
404	568	835
405	569	833
406	571	832
407	572	830
408	573	828
409	574	827
410	576	825
411	576	823
412	578	821
413	579	820
414	580	818
415	582	817
416	583	815
417	584	813
418	585	812
419	586	810
420	587	808
421	589	807
422	590	805
423	591	803
424	592	802
425	594	800
426	595	799
427	596	797
428	598	796
429	599	794
430	600	793
431	602	791
432	603	790
433	604	788
434	606	787
435	607	786
436	609	784
437	610	783
438	611	781
439	613	780
440	614	779
441	616	778
442	617	776
443	619	775
444	620	773
445	621	772
446	623	770
447	624	769
448	626	768
449	627	766
450	628	765
451	630	763
452	631	762
453	633	761
454	634	759
455	635	758
456	636	756
457	638	755
458	640	754
459	641	753
460	642	751
461	644	750
462	645	748
463	647	747
464	648	745
465	649	744
466	651	743
467	652	741
468	653	740
469	655	738
470	656	737
471	657	735
472	659	734
473	660	733
474	662	731
475	663	730
476	664	728
477	666	727
478	667	726
479	669	724
480	670	723
481	671	722
482	673	720
483	674	719
484	675	717
485	677	716
486	678	715
487	680	713
488	681	712
489	682	710
490	684	709
491	685	707
492	686	706
493	688	704
494	689	703
495	690	701
496	692	700
497	693	698
498	694	697
499	696	696
500	698	695
501	699	693
502	701	692
503	702	691
504	703	689
505	704	688
506	706	686
507	707	685
508	708	683
509	710	682
